contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL190510C00150000,2019-04-23 10:40AM EDT,150,55.92,51.35,51.55,0,-,-,0,87.60%,5/10/2019
AAPL190510C00172500,2019-04-30 9:46AM EDT,172.5,29.67,28.75,29.55,-1.86,-5.90%,3,31,56.84%,5/10/2019
AAPL190510C00175000,2019-04-30 11:59AM EDT,175,25.72,26.4,27.1,-4.78,-15.67%,4,47,54.88%,5/10/2019
AAPL190510C00180000,2019-04-30 2:04PM EDT,180,21.75,21.8,22.05,-3.25,-13.00%,25,44,51.49%,5/10/2019
AAPL190510C00182500,2019-04-30 1:13PM EDT,182.5,18.82,19.55,19.75,-3.33,-15.03%,26,107,49.71%,5/10/2019
AAPL190510C00187500,2019-04-30 2:23PM EDT,187.5,15.2,15.15,15.35,-2.25,-12.89%,195,285,46.66%,5/10/2019
AAPL190510C00190000,2019-04-30 2:23PM EDT,190,13.2,13.1,13.35,-2.95,-18.27%,540,640,46.00%,5/10/2019
AAPL190510C00192500,2019-04-30 2:03PM EDT,192.5,11.32,11.15,11.3,-2.58,-18.56%,538,336,43.92%,5/10/2019
AAPL190510C00195000,2019-04-30 2:26PM EDT,195,9.5,9.45,9.6,-2.15,-18.45%,687,964,43.82%,5/10/2019
AAPL190510C00197500,2019-04-30 2:18PM EDT,197.5,7.8,7.8,7.9,-1.9,-19.59%,"1,113",876,42.58%,5/10/2019
AAPL190510C00200000,2019-04-30 2:25PM EDT,200,6.4,6.35,6.5,-1.6,-20.00%,"3,661","2,023",42.41%,5/10/2019
AAPL190510C00202500,2019-04-30 2:26PM EDT,202.5,5.08,5,5.15,-1.42,-21.85%,"3,272","1,200",41.39%,5/10/2019
AAPL190510C00205000,2019-04-30 2:25PM EDT,205,3.9,3.85,4,-1.22,-23.83%,"3,123","3,182",40.59%,5/10/2019
AAPL190510C00207500,2019-04-30 2:26PM EDT,207.5,2.95,2.94,2.97,-1,-25.32%,"1,695","1,660",39.36%,5/10/2019
AAPL190510C00210000,2019-04-30 2:26PM EDT,210,2.15,2.13,2.18,-0.74,-25.61%,"3,054","2,556",38.65%,5/10/2019
AAPL190510C00215000,2019-04-30 2:23PM EDT,215,1.07,1.05,1.08,-0.4,-27.21%,"1,507","1,597",37.45%,5/10/2019
AAPL190510C00217500,2019-04-30 2:22PM EDT,217.5,0.75,0.71,0.74,-0.26,-25.74%,439,705,37.11%,5/10/2019
AAPL190510C00220000,2019-04-30 2:23PM EDT,220,0.51,0.5,0.51,-0.18,-26.09%,"1,228","1,838",37.11%,5/10/2019
AAPL190510C00222500,2019-04-30 2:23PM EDT,222.5,0.36,0.34,0.35,-0.12,-25.00%,573,427,37.21%,5/10/2019
AAPL190510C00230000,2019-04-30 2:08PM EDT,230,0.14,0.12,0.15,-0.03,-17.65%,127,"1,150",39.84%,5/10/2019
AAPL190510C00232500,2019-04-30 2:22PM EDT,232.5,0.11,0.09,0.1,-0.02,-15.38%,"1,130","1,203",39.94%,5/10/2019
AAPL190510C00235000,2019-04-30 1:31PM EDT,235,0.08,0.06,0.09,-0.01,-11.11%,27,"1,111",41.80%,5/10/2019
AAPL190510C00237500,2019-04-30 2:04PM EDT,237.5,0.06,0.04,0.07,-0.01,-14.29%,153,33,42.58%,5/10/2019
AAPL190510C00240000,2019-04-30 1:11PM EDT,240,0.05,0.03,0.06,-0.01,-16.67%,112,982,43.95%,5/10/2019
AAPL190510C00242500,2019-04-30 12:58PM EDT,242.5,0.05,0.02,0.05,0.01,25.00%,2,87,45.31%,5/10/2019
AAPL190510C00245000,2019-04-30 12:23PM EDT,245,0.03,0.03,0.04,0,-,216,235,46.09%,5/10/2019
AAPL190510C00250000,2019-04-30 2:19PM EDT,250,0.02,0.02,0.03,-0.01,-33.33%,63,"1,244",48.44%,5/10/2019
AAPL190517C00080000,2019-04-30 1:21PM EDT,80,120.57,120.95,121.9,-2.23,-1.82%,3,177,188.67%,5/17/2019
AAPL190517C00090000,2019-04-17 2:30PM EDT,90,112.45,111,111.95,0,-,22,95,170.51%,5/17/2019
AAPL190517C00100000,2019-04-16 3:10PM EDT,100,100.6,100.95,101.9,0,-,12,13,146.29%,5/17/2019
AAPL190517C00110000,2019-04-12 11:06AM EDT,110,86.8,90.9,91.9,0,-,5,72,126.17%,5/17/2019
AAPL190517C00115000,2019-04-12 9:42AM EDT,115,85.03,85.9,86.85,0,-,1,18,115.82%,5/17/2019
AAPL190517C00120000,2019-04-24 11:02AM EDT,120,88.4,80.95,81.9,0,-,3,90,111.33%,5/17/2019
AAPL190517C00125000,2019-04-25 3:23PM EDT,125,80.75,75.95,76.9,0,-,36,34,103.52%,5/17/2019
AAPL190517C00130000,2019-04-25 3:38PM EDT,130,75.55,70.95,71.9,0,-,71,71,95.90%,5/17/2019
AAPL190517C00135000,2019-04-17 1:07PM EDT,135,67.85,65.95,66.95,0,-,2,9,89.84%,5/17/2019
AAPL190517C00140000,2019-04-18 1:56PM EDT,140,63.92,60.9,61.85,0,-,1,370,78.81%,5/17/2019
AAPL190517C00145000,2019-04-30 10:08AM EDT,145,56.21,56,56.85,-3.29,-5.53%,1,335,74.56%,5/17/2019
AAPL190517C00150000,2019-04-30 10:12AM EDT,150,50.86,51.3,51.8,-4.27,-7.75%,8,556,72.61%,5/17/2019
AAPL190517C00155000,2019-04-29 3:49PM EDT,155,49.93,46,47,0,-,36,281,64.06%,5/17/2019
AAPL190517C00160000,2019-04-30 10:48AM EDT,160,41.15,41.25,41.7,-4.22,-9.30%,26,"1,195",56.59%,5/17/2019
AAPL190517C00165000,2019-04-30 9:34AM EDT,165,35.3,36.05,37,-5.03,-12.47%,3,"1,112",51.61%,5/17/2019
AAPL190517C00170000,2019-04-30 2:02PM EDT,170,31.56,31.4,32,-3.44,-9.83%,66,"3,223",54.39%,5/17/2019
AAPL190517C00175000,2019-04-30 2:23PM EDT,175,27,26.7,26.95,-3.4,-11.18%,61,"3,917",46.29%,5/17/2019
