contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL190412C00130000,2019-04-05 2:42PM EDT,130,66.94,66.65,67.5,9.65,16.84%,14,7,135.16%,4/12/2019
AAPL190412C00140000,2019-04-05 2:42PM EDT,140,56.95,54.85,59.15,10.95,23.80%,1,10,50.00%,4/12/2019
AAPL190412C00145000,2019-03-18 9:30AM EDT,145,41.05,49.85,54.2,0,-,10,18,90.63%,4/12/2019
AAPL190412C00146000,2019-03-18 12:07AM EDT,146,37,48.85,53.2,0,-,10,10,88.28%,4/12/2019
AAPL190412C00147000,2019-04-05 3:34PM EDT,147,50.21,47.85,52.2,12.51,33.18%,50,10,86.72%,4/12/2019
AAPL190412C00148000,2019-03-01 2:57PM EDT,148,27.24,46.85,51.2,0,-,1,1,85.16%,4/12/2019
AAPL190412C00149000,2019-04-05 3:36PM EDT,149,48.17,45.9,50,10.77,28.80%,40,2,176.03%,4/12/2019
AAPL190412C00150000,2019-04-05 3:16PM EDT,150,46.85,44.85,49.1,3.03,6.91%,1,7,175.24%,4/12/2019
AAPL190412C00152500,2019-03-19 10:21AM EDT,152.5,36,42.35,46.5,0,-,0,10,164.84%,4/12/2019
AAPL190412C00155000,2019-04-03 11:41AM EDT,155,41.08,39.85,44.2,0,-,25,31,72.27%,4/12/2019
AAPL190412C00157500,2019-04-02 2:09PM EDT,157.5,36.36,37.4,41.65,0,-,1,2,67.97%,4/12/2019
AAPL190412C00160000,2019-04-03 10:31AM EDT,160,35.87,34.85,39.2,0,-,1,25,63.67%,4/12/2019
AAPL190412C00162500,2019-04-05 12:57PM EDT,162.5,33.89,32.35,36.7,7.81,29.95%,3,15,59.38%,4/12/2019
AAPL190412C00165000,2019-04-05 3:38PM EDT,165,31.92,29.85,32.25,1.92,6.40%,16,47,76.56%,4/12/2019
AAPL190412C00167500,2019-04-05 9:53AM EDT,167.5,28.99,27.35,31.7,0.36,1.26%,1,52,50.78%,4/12/2019
AAPL190412C00170000,2019-04-05 2:24PM EDT,170,26.89,24.85,27.2,0.77,2.95%,32,74,63.09%,4/12/2019
AAPL190412C00172500,2019-04-05 3:42PM EDT,172.5,24.5,22.4,26.5,0.69,2.90%,50,68,102.93%,4/12/2019
AAPL190412C00175000,2019-04-05 12:26PM EDT,175,21.81,19.9,22.2,0.59,2.78%,3,336,52.64%,4/12/2019
AAPL190412C00177500,2019-04-05 3:09PM EDT,177.5,19.4,17.4,20.75,0.92,4.98%,349,385,74.56%,4/12/2019
AAPL190412C00180000,2019-04-05 3:58PM EDT,180,17.07,17,17.25,1.19,7.49%,197,992,44.09%,4/12/2019
AAPL190412C00182500,2019-04-05 3:56PM EDT,182.5,14.58,14.5,14.8,1.15,8.56%,293,"1,374",40.28%,4/12/2019
AAPL190412C00185000,2019-04-05 3:54PM EDT,185,12.2,12.1,12.35,1.51,14.13%,381,"1,819",35.94%,4/12/2019
AAPL190412C00187500,2019-04-05 3:59PM EDT,187.5,9.8,9.7,9.9,1.25,14.62%,690,"1,263",31.18%,4/12/2019
AAPL190412C00190000,2019-04-05 3:59PM EDT,190,7.5,7.35,7.55,1.1,17.19%,"1,358","4,023",27.66%,4/12/2019
AAPL190412C00192500,2019-04-05 3:59PM EDT,192.5,5.3,5.25,5.4,0.89,20.18%,"3,068","4,606",25.51%,4/12/2019
AAPL190412C00195000,2019-04-05 3:59PM EDT,195,3.45,3.35,3.5,0.66,23.66%,"8,485","7,088",23.61%,4/12/2019
AAPL190412C00197500,2019-04-05 3:59PM EDT,197.5,1.96,1.93,2.01,0.35,21.74%,"17,208","6,893",22.32%,4/12/2019
